seqnames	gene_id	gene_name	type	cluster_id	n_control	n_treatment	mean_control	mean_treatment	median_control	median_treatment	sd_control	sd_treatment	fold_change	mean_diff	median_diff	log2_fc	statistic	p_value	cohens_d	method	q_value	sig
22	ENSG00000206195	DUXAP8	exon	PA1	46	33	334.413043478261	367.848484848485	298	361	173.12469187611	193.766631739723	1.09998246785609	33.435441370224	63	0.137480529442081	0.790431255679839	0.432187049697419	0.183723628219905	t-test on raw scale	0.873493159881827	NS
22	ENSG00000184076	UQCR10	3UTR	PA100	3645	3192	114.520987654321	114.068295739348	101	99	78.4593374315562	77.8824800537296	0.99604708338406	-0.452691914972618	-2	-0.00571415444219446	-0.238950660589093	0.811151118478032	-0.00578959847838401	t-test on raw scale	0.923419016837312	NS
22	ENSG00000184076	UQCR10	3UTR	PA101	126	156	119.507936507937	117.641025641026	92	97.5	93.7859474362121	86.0170987291479	0.984378352421917	-1.86691086691087	5.5	-0.0227151632157769	-0.172421369379359	0.863242020769209	-0.0208433547288727	t-test on raw scale	0.946821502110804	NS
22	ENSG00000100330	MTMR3	3UTR	PA103	87	68	166.183908045977	161.838235294118	152	162.5	96.4037691938554	81.3675299745099	0.973850219296461	-4.34567275185935	10.5	-0.0382281957776956	-0.304118704832292	0.761453217818938	-0.0482163937643692	t-test on raw scale	0.919886845826567	NS
22	ENSG00000100003	SEC14L2	3UTR	PA104	30	13	144.3	114.692307692308	99	79	156.383954993184	97.9765147160146	0.794818487126179	-29.6076923076923	-20	-0.331302665461486	-0.751161123576827	0.457532725211145	-0.208796649982093	t-test on raw scale	0.873955192977681	NS
22	ENSG00000242114	MTFP1	3UTR	PA105	508	278	119.228346456693	118.176258992806	107.5	97	71.8971640116712	87.7188724822911	0.991175861318606	-1.05208746388716	-10.5	-0.012787041771228	-0.170999907372785	0.864295526670093	-0.0135133487410056	t-test on raw scale	0.946821502110804	NS
22	ENSG00000100036	SLC35E4	3UTR	PA106	40	27	152.875	149.111111111111	133	142	132.364335482381	84.4399346524058	0.975379304079222	-3.76388888888889	9	-0.0359647337695154	-0.142050150471359	0.887480812609561	-0.0325585309284429	t-test on raw scale	0.958126051424252	NS
22	ENSG00000184792	OSBP2	3UTR	PA107	11	22	219.090909090909	217.272727272727	169	197.5	185.115344877433	137.439919971352	0.991701244813278	-1.81818181818181	28.5	-0.012022528249213	-0.0288423437595175	0.977353689677299	-0.0117730722174248	t-test on raw scale	0.994768297876466	NS
22	ENSG00000184792	OSBP2	3UTR	PA108	115	72	160.426086956522	160.444444444444	150	147	94.0314487211	91.0381268045503	1.0001144295686	0.0183574879227137	-3	0.000165077526456253	0.00132484969045128	0.998944631474162	0.000197617443632056	t-test on raw scale	0.998944631474162	NS
22	ENSG00000253352	TUG1	3UTR	PA109	173	224	218.543352601156	268.200892857143	198	246	136.402425404157	161.573317845361	1.22722054761653	49.6575402559868	48	0.295394543507835	3.31720795190141	0.000994171949375791	0.328577161067885	t-test on raw scale	0.0331900481560841	Lengthening
22	ENSG00000099968	BCL2L13	3UTR	PA11	151	164	134.94701986755	128.774390243902	118	118.5	96.1166505228219	79.5603198428145	0.954258866704091	-6.17262962364723	0.5	-0.0675474082690683	-0.617948835783351	0.53709070533419	-0.0702355180770896	t-test on raw scale	0.906955774116587	NS
22	ENSG00000253352	TUG1	3UTR	PA110	36	65	283.833333333333	269.723076923077	279.5	229	123.676883161614	159.150627128468	0.950286824156466	-14.1102564102564	-50.5	-0.0735650684611861	-0.494393039304219	0.622259063004088	-0.0956063708440003	t-test on raw scale	0.919886845826567	NS
22	ENSG00000183963	SMTN	3UTR	PA111	58	35	195.775862068966	217.6	174	206	134.874606235342	153.372326670216	1.11147512109203	21.8241379310345	32	0.152475655896299	0.69511788181465	0.489469336116437	0.153617604333703	t-test on raw scale	0.891557325211021	NS
22	ENSG00000185133	INPP5J	3UTR	PA112	21	13	157.52380952381	251.076923076923	152	235	111.975720157371	166.000733702426	1.593898242024	93.5531135531135	83	0.672559527437889	1.79485999076834	0.0887574222986513	0.694030379826962	t-test on raw scale	0.481509015970183	NS
22	ENSG00000138942	RNF185	3UTR	PA113	200	193	135.12	158.673575129534	124	146	81.9602526538039	99.8720127638672	1.17431597934824	23.5535751295337	22	0.231820654191284	2.55072082007033	0.0111505191863284	0.258272871442416	t-test on raw scale	0.19357301307466	NS
22	ENSG00000182541	LIMK2	3UTR	PA114	30	15	163.666666666667	210.933333333333	153.5	168	102.285379456571	165.643967018192	1.2887983706721	47.2666666666667	14.5	0.366026575270736	1.01281983609596	0.323546183937257	0.373801445961802	t-test on raw scale	0.79050990149656	NS
22	ENSG00000182541	LIMK2	3UTR	PA115	90	70	163.633333333333	153.671428571429	158	126	102.724836991019	110.052651618961	0.939120565724762	-9.96190476190475	-32	-0.0906177097373599	-0.584709589390597	0.559663025360321	-0.0939915023527342	t-test on raw scale	0.906955774116587	NS
22	ENSG00000185721	DRG1	3UTR	PA117	1061	872	110.270499528746	108.293577981651	94	90	80.9648384353569	77.3430104634591	0.982072072262811	-1.97692154709509	-4	-0.0260991900208435	-0.547490418118124	0.584106563185288	-0.0249134304589271	t-test on raw scale	0.919886845826567	NS
22	ENSG00000185721	DRG1	3UTR	PA118	16	13	136.1875	134.615384615385	155	132	65.8394195498917	66.9907188366897	0.988456243160236	-1.57211538461539	-23	-0.0167509925373078	-0.0633351960615427	0.949991378284632	-0.0236930022196178	t-test on raw scale	0.979594362219191	NS
22	ENSG00000198089	SFI1	3UTR	PA119	84	13	327.928571428571	331.307692307692	339.5	303	119.35083301977	200.246674801932	1.01030444180085	3.37912087912088	-36.5	0.0147900954460043	0.0592363797711426	0.953641402944042	0.0255361634691596	t-test on raw scale	0.98037314643418	NS
22	ENSG00000099968	BCL2L13	3UTR	PA12	144	143	114.777777777778	131.993006993007	104.5	114	74.8179557040053	93.5339432628753	1.14998747622175	17.2152292152292	9.5	0.201618149786029	1.7210745414792	0.0863781858894146	0.203340964277361	t-test on raw scale	0.479915301339523	NS
22	ENSG00000128245	YWHAH	3UTR	PA121	430	352	131.725581395349	135.019886363636	124	118	77.2737334428545	94.5928877782081	1.02500884743412	3.29430496828755	-6	0.0356363625055971	0.525450206989587	0.599442935041545	0.0385287154753996	t-test on raw scale	0.919886845826567	NS
22	ENSG00000100225	FBXO7	3UTR	PA122	530	292	121.954716981132	129.856164383562	106.5	114	79.8611142390343	94.4866389744479	1.06479001057132	7.90144740242955	7.5	0.0905689416452898	1.21048991830933	0.226640064907273	0.0925891550370079	t-test on raw scale	0.68517000035601	NS
22	ENSG00000100234	TIMP3	3UTR	PA124	174	155	129.080459770115	145.251612903226	123	132	79.0498808488358	85.8616823014864	1.12527963691724	16.1711531331109	9	0.170283562031152	1.76994782143828	0.0777041834706146	0.196423184982846	t-test on raw scale	0.476503140353472	NS
22	ENSG00000100234	TIMP3	3UTR	PA125	151	286	143.668874172185	145.195804195804	139	135.5	78.4191916862452	85.124038185875	1.01062811992101	1.52693002361875	-3.5	0.0152522274652935	0.187864376484109	0.851099171768794	0.0184248683184708	t-test on raw scale	0.944698313421116	NS
